date,上证综指(000001.SH),沪深300(000300.SH),创业板指(399006.SZ),中证新能源(399417.SZ),中证电子(399813.SZ),国证高端装备(399967.SZ),M2同比(%),CPI同比(%)
2014-10-24,109.14450501496407,102.95989023151813,110.84656223579393,96.99028170026325,,153.727650786345,12.9,1.6
2014-10-27,108.58306228302344,102.01784857565403,111.92848028098963,97.19204755072761,,154.73082559592913,12.9,1.6
2014-10-28,110.83177245332412,104.077342679388,114.18218863723489,99.50756355757382,,161.44331925443737,12.9,1.6
2014-10-29,112.49856000819196,105.57309328512157,114.7847379188194,100.91613141930831,,163.22631148038866,12.9,1.6
2014-10-30,113.3540692153692,106.32852679913418,114.46088268368489,100.76207866738713,,161.15270141134016,12.9,1.6
2014-10-31,114.73371173710656,108.02535596805826,113.52315036050183,100.44711898062995,,159.98225665567904,12.6,1.60114868
2014-11-03,115.20086167213508,108.2072267695904,114.7703343503353,101.26722529366515,,161.190942852572,12.6,1.60114868
2014-11-04,115.23143927596027,108.23410040922006,113.757883515641,100.6635248334367,,159.9706045655319,12.6,1.60114868
2014-11-05,114.6899075418593,107.8153195249912,113.46463586353521,100.37405205984832,,159.8798688327121,12.6,1.60114868
2014-11-06,115.00326872214535,107.92811129132144,114.9674831939613,100.98527215764355,,160.8555987779849,12.6,1.60114868
2014-11-07,114.63856561171562,107.7595481094136,114.2251742869296,99.82698179049892,,159.41226241328306,12.6,1.60114868
2014-11-10,117.26975656908853,110.49760161379652,113.63950418716237,100.64309537562252,,158.8725020083173,12.6,1.60114868
2014-11-11,117.08012801823466,110.1910526284056,109.64026337525124,97.24362028625197,,152.16882013604373,12.6,1.60114868
2014-11-12,118.25596725494182,111.72879329606052,110.70890313075064,98.3681055570787,,154.6125936680044,12.6,1.60114868
2014-11-13,117.83546594342337,111.10139717086037,108.24124176764794,97.8117854680675,,148.5092083166152,12.6,1.60114868
2014-11-14,117.51395073545063,111.15923578948636,108.11776117533118,98.24333280984234,,149.4380390268024,12.6,1.60114868
2014-11-17,117.28568536736029,110.55664610086747,110.40372752349394,98.92442564608992,,152.0799323117935,12.6,1.60114868
2014-11-18,116.44928123668154,109.45047713630362,111.16704163456497,98.90492782478846,,151.93523080463586,12.6,1.60114868
2014-11-19,116.19423083578309,109.26989833667675,112.94438197063323,98.67607796999066,,152.85109193430685,12.6,1.60114868
2014-11-20,116.27359038431541,109.26455806213495,112.12210325108045,98.35426410031862,,151.1440350623541,12.6,1.60114868
2014-11-21,117.89164340161382,111.26095940616148,112.89044360740374,99.2705286105573,,152.3563999661217,12.6,1.60114868
2014-11-24,120.07654356455215,114.09487945191555,113.11384895607888,100.58699754846508,,154.36562410973156,12.6,1.60114868
2014-11-25,121.72242457168836,115.65833095748539,115.6728079381667,102.45772366596306,,156.75505544153467,12.6,1.60114868
2014-11-26,123.46454206838288,117.27148146967801,116.59538650700712,102.53544876930818,,158.39882144497895,12.6,1.60114868
2014-11-27,124.70381205535065,118.62687760176883,117.28473229242546,103.01544120974333,,159.80742397267832,12.6,1.60114868
2014-11-28,127.18552830751302,120.9666499854865,117.84302060835574,101.76971010133545,,158.02302870503527,12.6,1.60114868
2014-12-01,127.05847717844094,121.4400825503084,116.45180093368133,100.56630190879012,,154.60299480960126,12.3,1.4
2014-12-02,131.01175839236708,125.92453503004765,117.43536961282157,102.15061634409861,,155.67760497361172,12.3,1.4
2014-12-03,131.7693244530283,127.80263206628142,120.36334501872838,105.37108413210072,,159.56909509799476,12.3,1.4
2014-12-04,137.45490988614227,133.69424688778275,121.66851837542751,106.51100795085217,,161.65793330247783,12.3,1.4
2014-12-05,139.26543588255734,134.57857912521135,118.67242609356468,103.0843157662178,,172.09399694923985,12.3,1.4
2014-12-08,143.18178693620467,140.09094832078512,117.56635206372378,103.36001362851125,,181.97703973602287,12.3,1.4
2014-12-09,135.4075378297107,133.80458385049297,112.87468970437426,100.15684766145927,,169.05406758041187,12.3,1.4
2014-12-10,139.3772693204234,138.74145233072838,117.98060469481315,103.79874788052695,,174.71292825922737,12.3,1.4
2014-12-11,138.7011013152162,137.08191895013647,119.10438311091573,104.78049312851527,,176.15927603048706,12.3,1.4
2014-12-12,139.29037203699463,137.52184559888164,121.79785041744094,106.65767415613696,,175.87991674145277,12.3,1.4
2014-12-15,140.0132360728496,138.55549018982953,124.3431560169032,107.31720626166211,,177.24425501480465,12.3,1.4
2014-12-16,143.24151992972364,142.26672259599357,123.74930889127782,106.9685080240522,,179.0009145436393,12.3,1.4
2014-12-17,145.1141966836811,144.7299672951251,123.34645908523838,105.16053428023093,,175.40238636859448,12.3,1.4
2014-12-18,144.94831910882166,144.09813529671683,122.58427025295518,104.71361493599657,,181.14861205811673,12.3,1.4
2014-12-19,147.36963866753706,145.70194032846132,119.79050309714232,103.67830058852809,,178.70169023748193,12.3,1.4
2014-12-22,148.26321580629823,146.18919731366964,113.87281198917034,99.41266972420897,,169.0836512277898,12.3,1.4
2014-12-23,143.76745471551686,143.19360476283583,112.26786436339604,97.71788981668055,,162.41282106342007,12.3,1.4
2014-12-24,140.9192338816917,139.12211915875173,114.01309674471851,99.07807912521993,,166.4680735296508,12.3,1.4
2014-12-25,145.66013728158939,143.6455900960302,114.73852646993295,100.06142146437288,,169.39628998134125,12.3,1.4
